date,DailyPrice,DlyRet,DlyRetx,vwretd,vwretx,ewretd,ewretx,sprtrn
2000-04-24,72.4375,0.022948,0.022948,-0.010579,-0.010585,-0.017588,-0.017603,-0.003262
2000-04-25,75.5625,0.043141000000000006,0.043141000000000006,0.038638,0.038637,0.023633,0.023617,0.033276
2000-04-26,72.1875,-0.044665,-0.044665,-0.011333,-0.011418,-0.002105,-0.002333,-0.011134
2000-04-27,77.3125,0.070996,0.070996,0.007165,0.007070999999999998,0.004455,0.004361,0.00269
2000-04-28,79.9375,0.033953,0.033953,0.000973,0.000928,0.014912,0.014863,-0.008526
2000-05-01,79.6875,-0.003127,-0.003127,0.015141,0.015136000000000004,0.018069,0.018021,0.010892
2000-05-02,77.8125,-0.023529,-0.023529,-0.019366,-0.019378,-0.008385,-0.008445999999999999,-0.014957
2000-05-03,75.8125,-0.025703,-0.025703,-0.021067,-0.021171,-0.014452,-0.014577,-0.021566
2000-05-04,74.25,-0.02061,-0.02061,0.0008820000000000002,0.0008449999999999999,0.006214,0.0061340000000000006,-0.003908
2000-05-05,76.8125,0.034512,0.034512,0.015485,0.015475,0.008431000000000001,0.008391,0.01636
2000-05-08,72.3125,-0.058584,-0.058584,-0.010189,-0.010269,-0.006954999999999999,-0.007025,-0.005905
2000-05-09,72.0,-0.004322,-0.004322,-0.01178,-0.011823,-0.010127,-0.010152,-0.008447
2000-05-10,67.625,-0.060764,-0.060764,-0.026778,-0.026884,-0.023452,-0.023574,-0.0206
2000-05-11,72.375,0.07024,0.07024,0.020428,0.020251,0.013091,0.012885,0.017902
2000-05-12,74.1875,0.025043,0.025043,0.008520999999999999,0.008497,0.004587,0.00451,0.009341
2000-05-15,77.0,0.037911,0.037911,0.020691,0.020667,0.004772,0.004739,0.022098
2000-05-16,79.1875,0.028409,0.028409,0.013807,0.013793,0.00827,0.008243,0.009419
2000-05-17,78.1875,-0.012628,-0.012628,-0.013413,-0.013492,-0.00621,-0.006278,-0.012442
2000-05-18,73.0625,-0.065548,-0.065548,-0.010467,-0.010508,-0.00572,-0.005765999999999999,-0.007315
